tingkat setelah parent,parent,similarity
3,sore,"[('pagi', 0.8309832215309143), ('siang', 0.7638958096504211), ('petang', 0.7636922001838684), ('malam', 0.7217128872871399), ('esok', 0.6744152307510376), ('sabtu', 0.6734710931777954), ('senin', 0.6702617406845093), ('keesokkan', 0.6446759104728699), ('subuh', 0.6338383555412292), ('kamis', 0.6306429505348206)]"
3,pagi,"[('sore', 0.8309832811355591), ('petang', 0.7955793142318726), ('siang', 0.7127876281738281), ('malam', 0.7090618014335632), ('sabtu', 0.6799915432929993), ('jumat', 0.6636763215065002), ('senin', 0.6610288619995117), ('esok', 0.6417326927185059), ('kamis', 0.6371614336967468), ('selasa', 0.6208085417747498)]"
3,wib,"[('wita', 0.7414035201072693), ('pukul', 0.632785439491272), ('senin', 0.6237481832504272), ('selasa', 0.6119972467422485), ('sabtu', 0.6068013310432434), ('dinihari', 0.5884631872177124), ('kamis', 0.5869709849357605), ('jumat', 0.5831773281097412), ('pkl', 0.5803378820419312), ('pagi', 0.5706951022148132)]"
3,selasa,"[('rabu', 0.8896497488021851), ('sabtu', 0.877626359462738), ('kamis', 0.8736028671264648), ('senin', 0.8694994449615479), ('jumat', 0.8170266151428223), ('dinihari', 0.7068837285041809), ('ahad', 0.6483930349349976), ('sore', 0.622729480266571), ('pagi', 0.6208085417747498), ('wib', 0.6119973063468933)]"
3,kamis,"[('selasa', 0.8736029863357544), ('sabtu', 0.8707578778266907), ('rabu', 0.8629360198974609), ('senin', 0.8537955284118652), ('jumat', 0.8172472715377808), ('dinihari', 0.6584864258766174), ('pagi', 0.637161374092102), ('sore', 0.6306428909301758), ('ahad', 0.6278308033943176), ('petang', 0.6178857684135437)]"
3,senin,"[('selasa', 0.8694994449615479), ('sabtu', 0.8679021000862122), ('kamis', 0.8537953495979309), ('jumat', 0.8275813460350037), ('rabu', 0.826034665107727), ('sore', 0.6702617406845093), ('pagi', 0.6610288619995117), ('petang', 0.6421505808830261), ('dinihari', 0.6411405801773071), ('wib', 0.623748242855072)]"
3,jumat,"[('sabtu', 0.8542582988739014), ('senin', 0.8275813460350037), ('kamis', 0.817247211933136), ('selasa', 0.8170266151428223), ('rabu', 0.7944782376289368), ('ahad', 0.683329701423645), ('pagi', 0.6636762022972107), ('dinihari', 0.6537397503852844), ('petang', 0.6464948058128357), ('kliwon', 0.6385819911956787)]"
3,rabu,"[('selasa', 0.8896497488021851), ('kamis', 0.8629361391067505), ('senin', 0.8260348439216614), ('sabtu', 0.8243230581283569), ('jumat', 0.794478178024292), ('dinihari', 0.7028979063034058), ('ahad', 0.6818159222602844), ('pagi', 0.6127188801765442), ('istu', 0.6089674234390259), ('petang', 0.6089511513710022)]"
3,pagi,"[('sore', 0.8309832811355591), ('petang', 0.7955793142318726), ('siang', 0.7127876281738281), ('malam', 0.7090618014335632), ('sabtu', 0.6799915432929993), ('jumat', 0.6636763215065002), ('senin', 0.6610288619995117), ('esok', 0.6417326927185059), ('kamis', 0.6371614336967468), ('selasa', 0.6208085417747498)]"
3,sore,"[('pagi', 0.8309832215309143), ('siang', 0.7638958096504211), ('petang', 0.7636922001838684), ('malam', 0.7217128872871399), ('esok', 0.6744152307510376), ('sabtu', 0.6734710931777954), ('senin', 0.6702617406845093), ('keesokkan', 0.6446759104728699), ('subuh', 0.6338383555412292), ('kamis', 0.6306429505348206)]"
3,ahad,"[('pahing', 0.7187627553939819), ('ashar', 0.6920703649520874), ('rajab', 0.6886890530586243), ('jumat', 0.683329701423645), ('rabu', 0.6818159222602844), ('syawal', 0.6740802526473999), ('isya', 0.6709789037704468), ('safar', 0.6699311137199402), ('kliwon', 0.6682347059249878), ('dzulhijjah', 0.6524707674980164)]"
3,dinihari,"[('selasa', 0.7068836688995361), ('rabu', 0.702897846698761), ('wita', 0.6896710991859436), ('edt', 0.6722484827041626), ('kamis', 0.6584863066673279), ('jumat', 0.6537397503852844), ('senin', 0.6411405801773071), ('sabtu', 0.6305697560310364), ('gmt', 0.6235888600349426), ('pagi', 0.6126013994216919)]"
3,petang,"[('pagi', 0.7955792546272278), ('sore', 0.7636922001838684), ('siang', 0.667354166507721), ('jumat', 0.6464948058128357), ('senin', 0.6421505808830261), ('subuh', 0.6366259455680847), ('ahad', 0.636057436466217), ('sabtu', 0.6280474662780762), ('kamis', 0.6178857088088989), ('maariv', 0.6170130372047424)]"
3,selasa,"[('rabu', 0.8896497488021851), ('sabtu', 0.877626359462738), ('kamis', 0.8736028671264648), ('senin', 0.8694994449615479), ('jumat', 0.8170266151428223), ('dinihari', 0.7068837285041809), ('ahad', 0.6483930349349976), ('sore', 0.622729480266571), ('pagi', 0.6208085417747498), ('wib', 0.6119973063468933)]"
3,sabtu,"[('selasa', 0.8776264786720276), ('kamis', 0.8707577586174011), ('senin', 0.8679022192955017), ('jumat', 0.8542583584785461), ('rabu', 0.8243231177330017), ('pagi', 0.679991602897644), ('sore', 0.6734711527824402), ('ahad', 0.6367354393005371), ('dinihari', 0.6305697560310364), ('petang', 0.6280474662780762)]"
3,rabu,"[('selasa', 0.8896497488021851), ('kamis', 0.8629361391067505), ('senin', 0.8260348439216614), ('sabtu', 0.8243230581283569), ('jumat', 0.794478178024292), ('dinihari', 0.7028979063034058), ('ahad', 0.6818159222602844), ('pagi', 0.6127188801765442), ('istu', 0.6089674234390259), ('petang', 0.6089511513710022)]"
3,senin,"[('selasa', 0.8694994449615479), ('sabtu', 0.8679021000862122), ('kamis', 0.8537953495979309), ('jumat', 0.8275813460350037), ('rabu', 0.826034665107727), ('sore', 0.6702617406845093), ('pagi', 0.6610288619995117), ('petang', 0.6421505808830261), ('dinihari', 0.6411405801773071), ('wib', 0.623748242855072)]"
3,jumat,"[('sabtu', 0.8542582988739014), ('senin', 0.8275813460350037), ('kamis', 0.817247211933136), ('selasa', 0.8170266151428223), ('rabu', 0.7944782376289368), ('ahad', 0.683329701423645), ('pagi', 0.6636762022972107), ('dinihari', 0.6537397503852844), ('petang', 0.6464948058128357), ('kliwon', 0.6385819911956787)]"
3,dinihari,"[('selasa', 0.7068836688995361), ('rabu', 0.702897846698761), ('wita', 0.6896710991859436), ('edt', 0.6722484827041626), ('kamis', 0.6584863066673279), ('jumat', 0.6537397503852844), ('senin', 0.6411405801773071), ('sabtu', 0.6305697560310364), ('gmt', 0.6235888600349426), ('pagi', 0.6126013994216919)]"
3,pagi,"[('sore', 0.8309832811355591), ('petang', 0.7955793142318726), ('siang', 0.7127876281738281), ('malam', 0.7090618014335632), ('sabtu', 0.6799915432929993), ('jumat', 0.6636763215065002), ('senin', 0.6610288619995117), ('esok', 0.6417326927185059), ('kamis', 0.6371614336967468), ('selasa', 0.6208085417747498)]"
3,sore,"[('pagi', 0.8309832215309143), ('siang', 0.7638958096504211), ('petang', 0.7636922001838684), ('malam', 0.7217128872871399), ('esok', 0.6744152307510376), ('sabtu', 0.6734710931777954), ('senin', 0.6702617406845093), ('keesokkan', 0.6446759104728699), ('subuh', 0.6338383555412292), ('kamis', 0.6306429505348206)]"
3,ahad,"[('pahing', 0.7187627553939819), ('ashar', 0.6920703649520874), ('rajab', 0.6886890530586243), ('jumat', 0.683329701423645), ('rabu', 0.6818159222602844), ('syawal', 0.6740802526473999), ('isya', 0.6709789037704468), ('safar', 0.6699311137199402), ('kliwon', 0.6682347059249878), ('dzulhijjah', 0.6524707674980164)]"
3,petang,"[('pagi', 0.7955792546272278), ('sore', 0.7636922001838684), ('siang', 0.667354166507721), ('jumat', 0.6464948058128357), ('senin', 0.6421505808830261), ('subuh', 0.6366259455680847), ('ahad', 0.636057436466217), ('sabtu', 0.6280474662780762), ('kamis', 0.6178857088088989), ('maariv', 0.6170130372047424)]"
3,sabtu,"[('selasa', 0.8776264786720276), ('kamis', 0.8707577586174011), ('senin', 0.8679022192955017), ('jumat', 0.8542583584785461), ('rabu', 0.8243231177330017), ('pagi', 0.679991602897644), ('sore', 0.6734711527824402), ('ahad', 0.6367354393005371), ('dinihari', 0.6305697560310364), ('petang', 0.6280474662780762)]"
3,senin,"[('selasa', 0.8694994449615479), ('sabtu', 0.8679021000862122), ('kamis', 0.8537953495979309), ('jumat', 0.8275813460350037), ('rabu', 0.826034665107727), ('sore', 0.6702617406845093), ('pagi', 0.6610288619995117), ('petang', 0.6421505808830261), ('dinihari', 0.6411405801773071), ('wib', 0.623748242855072)]"
3,kamis,"[('selasa', 0.8736029863357544), ('sabtu', 0.8707578778266907), ('rabu', 0.8629360198974609), ('senin', 0.8537955284118652), ('jumat', 0.8172472715377808), ('dinihari', 0.6584864258766174), ('pagi', 0.637161374092102), ('sore', 0.6306428909301758), ('ahad', 0.6278308033943176), ('petang', 0.6178857684135437)]"
3,selasa,"[('rabu', 0.8896497488021851), ('sabtu', 0.877626359462738), ('kamis', 0.8736028671264648), ('senin', 0.8694994449615479), ('jumat', 0.8170266151428223), ('dinihari', 0.7068837285041809), ('ahad', 0.6483930349349976), ('sore', 0.622729480266571), ('pagi', 0.6208085417747498), ('wib', 0.6119973063468933)]"
3,rabu,"[('selasa', 0.8896497488021851), ('kamis', 0.8629361391067505), ('senin', 0.8260348439216614), ('sabtu', 0.8243230581283569), ('jumat', 0.794478178024292), ('dinihari', 0.7028979063034058), ('ahad', 0.6818159222602844), ('pagi', 0.6127188801765442), ('istu', 0.6089674234390259), ('petang', 0.6089511513710022)]"
3,ahad,"[('pahing', 0.7187627553939819), ('ashar', 0.6920703649520874), ('rajab', 0.6886890530586243), ('jumat', 0.683329701423645), ('rabu', 0.6818159222602844), ('syawal', 0.6740802526473999), ('isya', 0.6709789037704468), ('safar', 0.6699311137199402), ('kliwon', 0.6682347059249878), ('dzulhijjah', 0.6524707674980164)]"
3,pagi,"[('sore', 0.8309832811355591), ('petang', 0.7955793142318726), ('siang', 0.7127876281738281), ('malam', 0.7090618014335632), ('sabtu', 0.6799915432929993), ('jumat', 0.6636763215065002), ('senin', 0.6610288619995117), ('esok', 0.6417326927185059), ('kamis', 0.6371614336967468), ('selasa', 0.6208085417747498)]"
3,dinihari,"[('selasa', 0.7068836688995361), ('rabu', 0.702897846698761), ('wita', 0.6896710991859436), ('edt', 0.6722484827041626), ('kamis', 0.6584863066673279), ('jumat', 0.6537397503852844), ('senin', 0.6411405801773071), ('sabtu', 0.6305697560310364), ('gmt', 0.6235888600349426), ('pagi', 0.6126013994216919)]"
3,petang,"[('pagi', 0.7955792546272278), ('sore', 0.7636922001838684), ('siang', 0.667354166507721), ('jumat', 0.6464948058128357), ('senin', 0.6421505808830261), ('subuh', 0.6366259455680847), ('ahad', 0.636057436466217), ('sabtu', 0.6280474662780762), ('kamis', 0.6178857088088989), ('maariv', 0.6170130372047424)]"
3,kliwon,"[('pahing', 0.8804224133491516), ('legi', 0.8277703523635864), ('wage', 0.7854570746421814), ('umanis', 0.7035139799118042), ('ahad', 0.668234646320343), ('rebo', 0.662244439125061), ('dukut', 0.6587581634521484), ('wuku', 0.6581663489341736), ('galungan', 0.649223268032074), ('redite', 0.6445505619049072)]"
3,selasa,"[('rabu', 0.8896497488021851), ('sabtu', 0.877626359462738), ('kamis', 0.8736028671264648), ('senin', 0.8694994449615479), ('jumat', 0.8170266151428223), ('dinihari', 0.7068837285041809), ('ahad', 0.6483930349349976), ('sore', 0.622729480266571), ('pagi', 0.6208085417747498), ('wib', 0.6119973063468933)]"
3,kamis,"[('selasa', 0.8736029863357544), ('sabtu', 0.8707578778266907), ('rabu', 0.8629360198974609), ('senin', 0.8537955284118652), ('jumat', 0.8172472715377808), ('dinihari', 0.6584864258766174), ('pagi', 0.637161374092102), ('sore', 0.6306428909301758), ('ahad', 0.6278308033943176), ('petang', 0.6178857684135437)]"
